,Sentence,Entity1,Entity2,relation
800,"When the Giants ' general manager , Ernie Accorsi , was with the Cleveland Browns , he directed the team 's equipment manager to go to the Pro Football Hall of Fame in Canton , Ohio , and photograph the uniforms of the Browns greats Jim Brown and Otto Graham .",Browns,Jim,greats
801,"A11 EDUCATION Law Segregates Schools Nebraska 's only African-American state senator has helped the Legislature pass a law that will divide Omaha public schools into three racially identifiable districts , one largely black , one white and one Hispanic .",EDUCATION Law,Schools,Segregates
802,Carmona is the 22-year-old rookie relief pitcher who was put in the closer 's role after the Indians traded Bob Wickman to Atlanta .,Indians,Bob,traded
803,"As the war intensified , however , Philipp began to distance himself from Hitler , and after Italy dropped out of the war in the summer of 1943 , Hitler imprisoned Philipp and sent Mafalda to the Buchenwald camp , where she died .",Hitler,Philipp,imprisoned
804,"An average of more than 100 civilians per day were killed in Iraq last month , the United Nations reported Tuesday , registering what appears to be the highest official monthly tally of violent deaths since the fall of Baghdad .",United Nations,Tuesday,reported
805,But it was not until John Philip Coghlan became Visa USA 's new leader last summer that she got permission .,Philip Coghlan,Visa,became
806,"Stille follows Berlusconi from his middle-class origins in Milan , where he was born in 1936 and made a killing in real estate in the 1960 's and 70 's , to his first television acquisitions in the 70 's and 80 's , when he broke the state monopoly and filled his commercial channels with '' Dallas , '' '' Baywatch '' and Italy 's first nude game show .",Stille,Berlusconi,follows
807,"Opens today in New York and San Francisco Directed by Joseph Lovett Not rated , 72 minutes Joseph Lovett 's nostalgic paean to the erotic utopia of his youth might be more accurately titled '' Anonymous Gay Male Sex in the 70 's in Manhattan . ''",San Francisco,Joseph,Directed
808,The Supreme Council entered Iraq after the fall of Saddam Hussein and is trying to live down its history of fighting against Iraqis .,Supreme Council,Iraq,entered
809,Ms. Rice visited Blackburn and Liverpool on a visit to England in April ; she did not visit Blackpool .,Ms. Rice,Blackburn,visited
810,"A Pentagon assessment of security conditions in Iraq concluded Monday that attacks against American and Iraqi targets had surged this summer and autumn to their highest level , and called violence by Shiite militants the most significant threat in Baghdad .",Iraq,Monday,concluded
811,"In a speech Thursday in eastern Afghanistan , President Hamid Karzai blamed Pakistan for supporting the insurgents in an effort to destabilize the Afghan government . ''",Hamid Karzai,Pakistan,blamed
812,"The chaos in Gaza continued Wednesday , as some gunmen blocked access to the border crossing with Egypt , others used stolen bulldozers to smash through the border wall between Egypt and Gaza and still others fired a barrage of Qassam rockets toward the Israeli towns of Sederot and Ashkelon , and toward the Erez crossing between Gaza and Israel .",Gaza,Wednesday,continued
813,"In an effort to jump-start formal negotiations between six world powers and Iran over its nuclear program , President Jacques Chirac of France suggested Monday that Iran would not have to freeze major nuclear activities until the talks began .",France,Monday,suggested
814,"Contributions may be made to the James Haskins Visiting Scholar Fellowship , Department of Afro-American History , or the James Haskins Collections in AfroAmerican Studies , both at the University of Florida , Gainesville , FL .",James Haskins,Scholar,Visiting
815,Secretary General Kofi Annan said Monday that the United Nations would mediate talks on the release of Israeli and Hezbollah prisoners .,Kofi Annan,Monday,said
816,"Mr. Annan arrived Monday in Saudi Arabia , his eighth stop on a Middle East trip intended to shore up support for the resolution , which ended the 34-day war and plotted a path to a longer-term peace .",Mr. Annan,Monday,arrived
817,"When armed insurgents moved into her southern Baghdad neighborhood last spring and started threatening Shiite families like hers , Umm Hussein called Iraq 's widely publicized 24-hour terrorism hot line .",Umm Hussein,Iraq,called
818,"Having embraced the pervasive utopian dreams of those thrilling , wrenching days , Medved explains that the most devastating moment of his young life came when , as a supervisor of volunteers in Robert Kennedy 's California campaign , he was at the victory celebration when Sirhan Sirhan shot Kennedy down .",Sirhan Sirhan,Kennedy,shot
819,"After long resisting entreaties from the Bush administration , Prime Minister John Howard of Australia announced Tuesday that he would dispatch more combat troops to Iraq .",Australia,Tuesday,announced
820,"As a junior player , Basu beat Kim Clijsters of Belgium -- now the WTA 's second-ranked player -- and later played nearly 100 tournaments professionally in Europe .",Basu,Kim,beat
821,"Among them were Qiao Shi and Hu Qili , who were both members of the Politburo Standing Committee at the time Mr. Zhao held China 's top political posts .",Mr. Zhao,China,held
822,"Secretary General Kofi Annan appointed Kai Eide , Norway 's ambassador to NATO and a former special United Nations envoy to Bosnia , to assess whether Kosovo , the 90 percent Albanian province of Serbia run by the United Nations since 1999 , should gain its independence .",Kofi Annan,Kai,appointed
823,"The next game , however , Cheeks made a far stranger decision when he kept little-used Richie Frahm in the game and he inbounded the ball in the final 24.3 seconds of the fourth quarter , with Portland trailing Washington , 99-98 .",Portland,Washington,trailing
824,"Molly 's story began last summer when , apparently abandoned by her owners , she was found wandering in a pasture in St. Charles Parish after Hurricane Katrina hit Louisiana .",Hurricane Katrina,Louisiana,hit
825,"Washington wants Beijing to put pressure on North Korea in coming nuclear disarmament talks ; the United States is pressing China to restrain its digital pirates , who illegally copy movies , software and other goods ; and there are the continuing tensions over China 's huge trade surplus with the United States , manufacturing jobs lost to China and Washington 's call for China to loosen its fixed-rate currency policy . ''",Washington,Beijing,wants
826,"The turning point on the field came last January , when West Virginia upset Georgia in the Sugar Bowl in Atlanta .",West Virginia,Georgia,upset
827,"METRO TOUR SERVICE visits Brooklyn Heights , Fort Greene and Clinton Hill , Brooklyn , today through Sunday at 2 p.m. , meeting in front of the Marriott Hotel , Adams and Tillary Streets , Downtown Brooklyn .",TOUR SERVICE,Brooklyn,visits
828,"Bolivia Elects Leftist Leader Evo Morales , an Aymara Indian who has vowed to end a campaign financed by the United States to eradicate coca farming , won a resounding victory in Bolivia 's presidential election .",Bolivia,Leftist,Elects
829,"Thursday through Saturday at 8 p.m. -LRB- dance -RRB- ; a gala package on Thursday includes Romano Drom 's performance at 9:30 p.m. ; Romano Drom also performs on Saturday at 8:30 p.m. , Bard College , Annandale-on-Hudson , N.Y. ; (845) 758-7900 ; $ 25 to $ 55 -LRB- dance -RRB- ; $ 150 gala package on Thursday , including dinner ; $ 25 -LRB- Romano Drom on Saturday -RRB- .",Thursday,Romano,includes
830,A1 Nations Urge Talks in Somalia The United States joined five other countries in calling for negotiations between Somalia 's government in exile and the Islamists who have seized control in Mogadishu and swaths of southern Somalia .,A1 Nations,Talks,Urge
831,"To meet his online challenges , Mr. Wright named Beth Comstock last year to head all of NBC Universal 's digital efforts .",Mr. Wright,Beth,named
832,"Branch Rickey brought Jackie Robinson to the Brooklyn Dodgers in April 1947 , breaking the major league color barrier , and three months later , Veeck broke the color barrier in the American League by acquiring a 23-year-old outfielder named Larry Doby for Cleveland .",Branch Rickey,Jackie,brought
833,"A10 Sharon Sees Peace Chance Prime Minister Ariel Sharon of Israel said there was an opportunity for a '' historic breakthrough '' with the Palestinians , and he had warm words for their new leader , Mahmoud Abbas .",A10 Sharon,Peace,Sees
834,Also deferred are the issues of Israel 's presence in the West Bank and actions that the Americans wanted Mr. Abbas to undertake to disarm militant groups .,Americans,Mr.,wanted
835,"It will be a reprise of the 1986 final , when Argentina and Diego Maradona defeated Germany , 3-2 , and the 1990 final when West Germany defeated Argentina , 1-0 , on a penalty kick .",Diego Maradona,Germany,defeated
836,"Mr. Annan told Mr. Olmert in a breakfast meeting at the prime minister 's residence in Jerusalem that while he would prefer that Israel completely lift its blockade of air , sea and land traffic into Lebanon , he wanted Mr. Olmert at least to allow Beirut 's airport to resume normal operations .",Mr. Annan,Mr.,told
837,"President Bush telephoned Bolivia 's newly inaugurated president , Evo Morales , to congratulate him and express the need for constructive dialogue between the countries .",President Bush,Bolivia,telephoned
838,"French Rejection of Constitution Could Trouble the Euro While France 's rejection of the proposed European Union constitution was a stinging rebuke to its own leaders , it could have painful consequences for economic integration in Europe and for the most tangible symbol of that unity : the euro .",Constitution,Trouble,Could
