,Sentence,Entity1,Entity2,relation
832,"Last month President Jacques Chirac of France urged President Bush to join a trust fund administered by the World Bank to pay the salaries , circumventing the leaders of Hamas , which won parliamentary elections earlier this year .",France,President,urged
833,"Though some Republicans defended Ms. Rice from Democratic attacks , others , including Lamar Alexander of Tennessee and Chuck Hagel of Nebraska , chimed in that the administration needed to present a clear plan for achieving its goals in Iraq and making a withdrawal possible .",Republicans,Ms.,defended
834,"Prime Minister Ariel Sharon declared Tuesday that despite criticism in Israel and among Jews in the United States , his plan to pull military forces and settlers out of the Gaza Strip and part of the West Bank would proceed on schedule .",Ariel Sharon,Tuesday,declared
835,"THE STRUGGLE FOR IRAQ : OVERHEARD Correction : November 30 , 2005 , Wednesday A headline yesterday about the comments of Saddam Hussein overheard during recesses at his war-crimes trial in Baghdad misstated Mr. Hussein 's status in Iraq 's criminal justice system .",Baghdad,Mr.,misstated
836,"A12 Attacks Shake India Holy City New details emerged of the multiple bombings in the holy city of Varanasi , India .",A12 Attacks,India,Shake
837,"Last week , President Jacques Chirac said France would build the prototype for a fourth generation of nuclear plants .",Jacques Chirac,France,said
838,"During his extended trip , which began Jan. 10 , Mr. Kim visited Hubei Province in central China and Guangdong Province , China 's export-oriented economic powerhouse in the south , as well as Beijing .",Mr. Kim,Hubei,visited
839,"Georg Milbradt , minister-president of Saxony , and Mr. Deppe said Saxony had subsidized AMD 's investment but declined to disclose details .",Mr. Deppe,Saxony,said
840,"In 1980 , after Detroit took Oklahoma running back Billy Sims with the No. 1 choice , the Jets selected Johnny Jones , a Texas wide receiver who won an Olympic gold medal in 1976 at Montreal in the 4x100-meter relay .",Detroit,Oklahoma,took
841,"In 1990 , after Indianapolis took Illinois quarterback Jeff George , the Jets chose Blair Thomas , a Penn State running back who had three ordinary seasons and soon disappeared .",Indianapolis,Illinois,took
842,"Sure enough , Mr. Cunningham persuaded Mr. Fulop , who lives in the Paulus Hook section of the city , to plunge into Jersey City 's bare-fisted , ethnically fraught politics to run in a congressional race last year against Mr. Menendez , a powerful figure in both Washington and Hudson County who was a bitter political rival of the mayor 's .",Mr. Cunningham,Mr.,persuaded
843,"An anti-Indian insurgency has been under way on the Indian side of Kashmir since 1989 ; New Delhi accuses Islamabad of fueling it , a charge Pakistan denies . ''",New Delhi,Islamabad,accuses
844,"Each had been thinking of social insurance since well before the emergence of Townsend -- as governor of New York , Roosevelt dispatched Perkins to England to study the British state insurance system .",Roosevelt,Perkins,dispatched
845,"Before the fighting began , some 150,000 Palestinians from the West Bank and Gaza entered Israel every day , mostly to work .",Gaza,Israel,entered
846,"Cornel Wilde stars as the 18th-century Polish composer Frederic Chopin ; Merle Oberon plays George Sand , the novelist who was his lover in Paris ; and Paul Muni is Joseph Elsner , Chopin 's teacher and mentor .",Merle Oberon,George,plays
847,This simultaneously hard-hitting and poignant drama about illegal immigrants in London stars Chiwetel Ejiofor as a Nigerian doctor who now drives a taxi and works at a hotel 's front desk .,London,Chiwetel,stars
848,"On a typical episode , a young level-headed woman in Los Angeles named Kelly undertook '' her first flip '' in North Hollywood .",Los Angeles,Kelly,named
849,"Seeking to redefine the term '' destination wedding , '' the San Francisco hotelier Adam Burgess bought Playa Fiesta in Puerto Vallarta , Mexico , right , two years ago and renovated it , turning it into a weddings-only boutique hotel .",Adam Burgess,Playa,bought
850,"In another tax protester case , a federal jury in Boise , Idaho , on Friday convicted David Roland Hinkson of soliciting the murders of a federal judge , a federal prosecutor and an I.R.S. agent because of earlier charges against him for willful failure to file tax returns .",Friday,David,convicted
851,"Eight days before Hitler annexed Austria in March 1938 , at a time when much of the world shrugged at the approach of Nazism , two prominent Jewish families in Vienna raced to a Swiss bank .",Hitler,Austria,annexed
852,"INTERNATIONAL A3-12 Olmert Offers New Details Of Border Plans for Israel Ehud Olmert , Israel 's acting prime minister , said that if he retained his post he would set the country 's permanent borders by 2010 and they would most likely run near the West Bank separation barrier .",Olmert,New,Offers
853,"In 2005 Italy put Ms. True on trial on charges of conspiring to import looted artifacts , and in recent weeks Italian officials have made it clear that the outcome of her ongoing trial in Rome could depend partly on the Getty 's willingness to meet the culture ministry 's demands .",Italy,Ms.,put
854,"Mr. DiLeonardo said he had been involved in a conversation at the Carousel Diner in Howard Beach , Queens , in which he said Mr. Gotti ordered Mr. Sliwa to be beaten '' as bad as a beating can be without killing him . ''",Mr. Gotti,Mr.,ordered
855,"While serving as the European Union 's antitrust enforcer in 2001 , Mr. Monti torpedoed General Electric 's takeover of Honeywell -- a brash move that made Brussels a new force in the global markets .",Mr. Monti,General,torpedoed
856,"At the sentencing , Mr. Cooney detailed Mr. Kumar 's philanthropic efforts as he sought to win leniency for his client : donations to tsunami relief in Sri Lanka ; girls ' education programs in Kenya ; emergency medical support to victims of the 1998 embassy bombings , also in Kenya ; and programs to help scientists track elephant herds in Africa .",Mr. Cooney,Mr.,detailed
857,"In California , Mark Lisanti edits Defamer , the Los Angeles counterpart to Gawker , and in Colorado , Brian D. Crecente edits one of the newer sites , Kotaku , dedicated to video games .",Mark Lisanti,Defamer,edits
858,"At the end of a conference here on Islam and the West organized by New York University and the Malaysian government , the former president of Iran , Mohammad Khatami , asked to see Ms. Zainah and her colleagues .",West,New,organized
859,China treats Taiwan as sovereign territory .,China,Taiwan,treats
860,"Israel 's acting prime minister , Ehud Olmert , will seek to evacuate additional West Bank settlements and define Israel 's permanent borders if his Kadima Party wins this month 's national elections , a top ally of Mr. Olmert said Sunday .",Mr. Olmert,Sunday,said
861,"FRANK LLOYD WRIGHT built Taliesin West in 1938 as a living laboratory for architectural study , a utopian community in Scottsdale , Ariz. , where students could sit at the master 's knee and learn the Wrightian way of organic architecture .",LLOYD WRIGHT,Taliesin,built
862,"In a recent effort to broaden its curriculum and academic offerings , Mr. Casey partnered Taliesin with three other stand-alone architecture schools , the Boston Architectural Center , the NewSchool of Architecture and Design in San Diego and the Southern California Institute of Architecture in Los Angeles .",Mr. Casey,Taliesin,partnered
863,"West Germans advised Dresden to leave it as a war monument , much like the Kaiser Wilhelm Memorial Church in Berlin , which was partly rebuilt , with its tower left in ruins . ''",West Germans,Dresden,advised
864,"NEGLEY -- William died November 7 , 2006 in San Antonio , Texas .",William,November,died
865,"The first attack was six miles south of Jerusalem at a junction popular with hitchhikers near Gush Etzion , one of the three settlement blocs that Prime Minister Ariel Sharon says Israel will never give up in any peace deal .",Ariel Sharon,Israel,says
866,"There is the aging Italian Cardinal Gian , who found the bishop as an abandoned infant at a fountain in Italy called Tivoli , and brought him up ; a lethally ambitious cardinal-secretary of state , Savici , from the Vatican ; Christina 's peasantlike father , Jose , whom Tivoli suspects has violated his own daughter ; and a former Ethiopian shaman , Mother Lulit , whom Tivoli converted in Africa .",Italy,Tivoli,called
867,"A18 Bolivia Elects Leftist Leader Evo Morales , a former coca farmer and an Aymara Indian presidential candidate who has pledged to reverse a campaign financed by the United States to wipe out coca growing , scored a decisive victory in the general elections in Bolivia .",A18 Bolivia,Leftist,Elects
868,"A1 Weld Rivals Raise Questions Republican and Democratic opponents of William F. Weld , who is seeking the Republican nomination for governor of New York in 2006 , seized on revelations about his tenure at a small Kentucky college that collapsed in a financial scandal two months ago to raise questions about his managerial competence .",Weld,Questions,Raise
869,"Gradkowski became the sixth quarterback from the Mid-American Conference to start an N.F.L. game this season , joining Ben Roethlisberger -LRB- Miami of Ohio -RRB- and Charlie Batch -LRB- Eastern Michigan -RRB- of Pittsburgh , Chad Pennington -LRB- Marshall -RRB- of the Jets , Byron Leftwich -LRB- Marshall -RRB- of Jacksonville and Charlie Frye -LRB- Akron -RRB- of Cleveland .",Charlie Batch,Eastern,-LRB-
